Item,price,key
"Milk (regular), 1 liter ", 0.85 $,0.266944955683
Loaf of Fresh White Bread (500g) , 0.96 $,0.062749900595
Rice (1kg) , 0.92 $,0.683662858428
Eggs (12) , 1.93 $,0.956570937907
Local Cheese (1kg) , 14.03 $,0.273928212233
"Chicken Breasts (Boneless, Skinless), (1kg) ", 4.00 $,0.0419978598067
Apples (1kg) , 1.29 $,0.508203942115
Oranges (1kg) , 1.87 $,0.938398358423
Tomato (1kg) , 1.03 $,0.777442919446
Potato (1kg) , 0.80 $,0.635947108738
Lettuce (1 head) , 0.75 $,0.427705202278
