Date,Indonesia - National Average - Rice - Retail (Rupiah/Kg)
Feb-2008,6375.00
Mar-2008,6221.00
Apr-2008,6132.00
May-2008,6406.00
Jun-2008,6405.00
Jul-2008,6404.00
Aug-2008,6404.00
Sep-2008,6436.00
Oct-2008,6440.00
Nov-2008,6441.00
Dec-2008,6504.00
Jan-2009,6591.00
Feb-2009,6725.00
Mar-2009,6706.00
Apr-2009,6643.00
May-2009,6641.00
Jun-2009,6640.00
Jul-2009,6640.00
Aug-2009,6659.00
Sep-2009,6699.00
Oct-2009,6705.00
Nov-2009,6707.00
Dec-2009,6938.00
Jan-2010,7495.00
Feb-2010,7721.00
Mar-2010,7492.00
Apr-2010,7393.00
May-2010,7403.00
Jun-2010,7601.00
Jul-2010,8037.00
Aug-2010,8383.00
Sep-2010,8430.00
Oct-2010,8493.00
Nov-2010,8668.00
Dec-2010,9082.00
Jan-2011,9244.00
Feb-2011,9118.00
Mar-2011,8795.00
Apr-2011,8711.00
May-2011,8741.00
Jun-2011,8870.00
Jul-2011,9297.00
Aug-2011,9504.00
Sep-2011,9644.00
Oct-2011,9768.00
Nov-2011,9871.00
Dec-2011,10100.00
Jan-2012,10439.00
Feb-2012,10520.00
Mar-2012,10406.00
Apr-2012,10339.00
May-2012,10286.00
Jun-2012,10309.00
Jul-2012,10385.00
Aug-2012,10391.00
Sep-2012,10414.00
