Date,Kenya - Eldoret - Maize - Wholesale (USD/tonne)
Jan-2006,180.00
Feb-2006,184.00
Mar-2006,185.00
Apr-2006,200.00
May-2006,220.00
Jun-2006,236.00
Jul-2006,227.00
Aug-2006,236.00
Sep-2006,173.00
Oct-2006,164.00
Nov-2006,154.00
Dec-2006,163.00
Jan-2007,154.00
Feb-2007,151.00
Mar-2007,157.00
Apr-2007,187.00
May-2007,189.00
Jun-2007,199.00
Jul-2007,197.00
Aug-2007,196.00
Sep-2007,191.00
Oct-2007,200.00
Nov-2007,208.00
Dec-2007,210.00
Jan-2008,
Feb-2008,
Mar-2008,
Apr-2008,257.00
May-2008,319.00
Jun-2008,311.00
Jul-2008,280.00
Aug-2008,304.00
Sep-2008,361.00
Oct-2008,310.00
Nov-2008,287.00
Dec-2008,234.00
Jan-2009,230.00
Feb-2009,308.00
Mar-2009,381.00
Apr-2009,375.00
May-2009,382.00
Jun-2009,382.00
Jul-2009,406.00
Aug-2009,455.00
Sep-2009,417.00
Oct-2009,
Nov-2009,
Dec-2009,328.00
Jan-2010,331.00
Feb-2010,300.00
Mar-2010,290.00
Apr-2010,323.00
May-2010,284.00
Jun-2010,272.00
Jul-2010,161.00
Aug-2010,147.00
Sep-2010,155.00
Oct-2010,167.00
Nov-2010,166.00
Dec-2010,172.00
Jan-2011,166.00
Feb-2011,243.00
Mar-2011,262.00
Apr-2011,316.00
May-2011,406.00
Jun-2011,418.00
Jul-2011,546.00
Aug-2011,437.00
Sep-2011,350.00
Oct-2011,327.00
Nov-2011,374.00
Dec-2011,386.00
Jan-2012,376.00
Feb-2012,382.00
Mar-2012,381.00
Apr-2012,383.00
May-2012,453.00
Jun-2012,434.00
Jul-2012,425.00
Aug-2012,417.00
Sep-2012,369.00
Oct-2012,342.00
Nov-2012,339.00
Dec-2012,320.00
Jan-2013,316.00
Feb-2013,327.00
Mar-2013,348.00
