Date,Kenya - Kisumu - Maize - Wholesale (USD/tonne)
Jan-2006,206.00
Feb-2006,250.00
Mar-2006,205.00
Apr-2006,234.00
May-2006,265.00
Jun-2006,267.00
Jul-2006,236.00
Aug-2006,211.00
Sep-2006,188.00
Oct-2006,190.00
Nov-2006,198.00
Dec-2006,221.00
Jan-2007,223.00
Feb-2007,223.00
Mar-2007,218.00
Apr-2007,195.00
May-2007,214.00
Jun-2007,214.00
Jul-2007,222.00
Aug-2007,232.00
Sep-2007,210.00
Oct-2007,208.00
Nov-2007,219.00
Dec-2007,210.00
Jan-2008,
Feb-2008,
Mar-2008,
Apr-2008,326.00
May-2008,423.00
Jun-2008,379.00
Jul-2008,381.00
Aug-2008,361.00
Sep-2008,343.00
Oct-2008,334.00
Nov-2008,353.00
Dec-2008,393.00
Jan-2009,387.00
Feb-2009,396.00
Mar-2009,394.00
Apr-2009,375.00
May-2009,377.00
Jun-2009,347.00
Jul-2009,358.00
Aug-2009,430.00
Sep-2009,359.00
Oct-2009,361.00
Nov-2009,362.00
Dec-2009,360.00
Jan-2010,362.00
Feb-2010,349.00
Mar-2010,335.00
Apr-2010,348.00
May-2010,227.00
Jun-2010,243.00
Jul-2010,210.00
Aug-2010,217.00
Sep-2010,224.00
Oct-2010,233.00
Nov-2010,251.00
Dec-2010,246.00
Jan-2011,241.00
Feb-2011,280.00
Mar-2011,302.00
Apr-2011,401.00
May-2011,452.00
Jun-2011,502.00
Jul-2011,597.00
Aug-2011,477.00
Sep-2011,379.00
Oct-2011,345.00
Nov-2011,416.00
Dec-2011,468.00
Jan-2012,463.04
Feb-2012,467.00
Mar-2012,432.00
Apr-2012,380.00
May-2012,466.00
Jun-2012,530.00
Jul-2012,480.00
Aug-2012,460.00
Sep-2012,390.00
Oct-2012,372.00
Nov-2012,382.00
Dec-2012,384.00
Jan-2013,376.00
Feb-2013,359.00
Mar-2013,413.00
