Date,Kenya - Mombasa - Maize - Wholesale (USD/tonne)
Jan-2006,224.00
Feb-2006,230.00
Mar-2006,236.00
Apr-2006,242.00
May-2006,270.00
Jun-2006,278.00
Jul-2006,273.00
Aug-2006,211.00
Sep-2006,163.00
Oct-2006,174.00
Nov-2006,179.00
Dec-2006,184.00
Jan-2007,168.00
Feb-2007,177.00
Mar-2007,166.00
Apr-2007,172.00
May-2007,175.00
Jun-2007,199.00
Jul-2007,198.00
Aug-2007,199.00
Sep-2007,205.00
Oct-2007,198.00
Nov-2007,213.00
Dec-2007,224.00
Jan-2008,231.00
Feb-2008,222.00
Mar-2008,247.00
Apr-2008,285.00
May-2008,339.00
Jun-2008,363.00
Jul-2008,348.00
Aug-2008,347.00
Sep-2008,328.00
Oct-2008,337.00
Nov-2008,346.00
Dec-2008,342.00
Jan-2009,336.00
Feb-2009,380.00
Mar-2009,364.00
Apr-2009,338.00
May-2009,342.00
Jun-2009,334.00
Jul-2009,321.00
Aug-2009,315.00
Sep-2009,307.00
Oct-2009,340.00
Nov-2009,352.00
Dec-2009,345.00
Jan-2010,345.00
Feb-2010,314.00
Mar-2010,287.00
Apr-2010,254.00
May-2010,220.00
Jun-2010,216.00
Jul-2010,198.00
Aug-2010,197.00
Sep-2010,191.00
Oct-2010,169.00
Nov-2010,211.00
Dec-2010,220.00
Jan-2011,220.00
Feb-2011,286.00
Mar-2011,294.00
Apr-2011,353.00
May-2011,423.00
Jun-2011,440.00
Jul-2011,494.00
Aug-2011,391.00
Sep-2011,346.00
Oct-2011,326.00
Nov-2011,378.00
Dec-2011,419.00
Jan-2012,417.00
Feb-2012,
Mar-2012,
Apr-2012,398.00
May-2012,449.00
Jun-2012,
