Date,Kenya - Nairobi - Maize - Wholesale (USD/tonne)
Jan-2006,215.00
Feb-2006,230.00
Mar-2006,235.00
Apr-2006,240.00
May-2006,250.00
Jun-2006,235.00
Jul-2006,255.00
Aug-2006,242.00
Sep-2006,204.00
Oct-2006,199.00
Nov-2006,201.00
Dec-2006,193.00
Jan-2007,216.00
Feb-2007,212.00
Mar-2007,193.00
Apr-2007,187.00
May-2007,203.00
Jun-2007,199.00
Jul-2007,201.00
Aug-2007,199.00
Sep-2007,203.00
Oct-2007,202.00
Nov-2007,210.00
Dec-2007,204.00
Jan-2008,223.00
Feb-2008,222.00
Mar-2008,240.00
Apr-2008,266.00
May-2008,339.00
Jun-2008,379.00
Jul-2008,324.00
Aug-2008,340.00
Sep-2008,314.00
Oct-2008,346.00
Nov-2008,367.00
Dec-2008,352.00
Jan-2009,307.00
Feb-2009,342.00
Mar-2009,383.00
Apr-2009,389.00
May-2009,442.00
Jun-2009,391.00
Jul-2009,379.00
Aug-2009,367.00
Sep-2009,387.00
Oct-2009,357.00
Nov-2009,373.00
Dec-2009,401.00
Jan-2010,374.00
Feb-2010,320.00
Mar-2010,307.00
Apr-2010,300.00
May-2010,232.00
Jun-2010,240.00
Jul-2010,174.00
Aug-2010,197.00
Sep-2010,215.00
Oct-2010,217.00
Nov-2010,220.00
Dec-2010,218.00
Jan-2011,215.00
Feb-2011,266.00
Mar-2011,281.00
Apr-2011,332.00
May-2011,392.00
Jun-2011,453.00
Jul-2011,513.00
Aug-2011,469.00
Sep-2011,358.00
Oct-2011,336.00
Nov-2011,384.00
Dec-2011,418.00
Jan-2012,404.00
Feb-2012,371.00
Mar-2012,363.00
Apr-2012,395.00
May-2012,433.00
Jun-2012,459.00
Jul-2012,428.00
Aug-2012,423.00
Sep-2012,429.00
Oct-2012,445.00
Nov-2012,449.00
Dec-2012,400.00
Jan-2013,350.00
Feb-2013,359.00
Mar-2013,372.00
